Username                       | Role                 | Div ID   | Dept ID  | Full Name                               
------------------------------------------------------------------------------------------------------------------------
raeyyt                         | UserRole.ADMIN       | None     | None     | raeyyt                                  
fleet_head                     | UserRole.SUB_DEPARTMENT_STAFF | 1        | 1        | Fleet Head                              
ambulance_crew_head            | UserRole.SUB_DEPARTMENT_STAFF | 1        | 1        | Ambulance Crew Head                     
dispatch_supervisor            | UserRole.SUB_DEPARTMENT_STAFF | 1        | 1        | Dispatch Supervisor                     
cpd_coordinator                | UserRole.SUB_DEPARTMENT_STAFF | 1        | 13       | CPD Coordinator                         
short_term_training_lead       | UserRole.SUB_DEPARTMENT_STAFF | 1        | 13       | Short-Term Training Lead                
dean                           | UserRole.SUB_DEPARTMENT_STAFF | 1        | 3        | Dean                                    
vice_dean                      | UserRole.SUB_DEPARTMENT_STAFF | 1        | 3        | Vice Dean                               
ambulance_outfitting           | UserRole.SUB_DEPARTMENT_STAFF | 2        | 4        | Ambulance Outfitting                    
first_aid_kit_production       | UserRole.SUB_DEPARTMENT_STAFF | 2        | 4        | First Aid Kit Production                
supplies_coordinator           | UserRole.SUB_DEPARTMENT_STAFF | 2        | 14       | Supplies Coordinator                    
cashier                        | UserRole.SUB_DEPARTMENT_STAFF | 3        | 7        | Cashier                                 
communication_officer          | UserRole.SUB_DEPARTMENT_STAFF | 3        | 12       | Communication Officer                   
costing_accountant             | UserRole.SUB_DEPARTMENT_STAFF | 3        | 7        | Costing Accountant                      
it_department                  | UserRole.SUB_DEPARTMENT_STAFF | 3        | 12       | IT Department                           
junior_accountant              | UserRole.SUB_DEPARTMENT_STAFF | 3        | 7        | Junior Accountant                       
legal_advisor                  | UserRole.SUB_DEPARTMENT_STAFF | 3        | 12       | Legal Advisor                           
maintenance                    | UserRole.SUB_DEPARTMENT_STAFF | 3        | 12       | Maintenance                             
procurement                    | UserRole.SUB_DEPARTMENT_STAFF | 3        | 12       | Procurement                             
senior_collection_and_revenue_accountant | UserRole.SUB_DEPARTMENT_STAFF | 3        | 7        | Senior Collection & Revenue Accountant  
store_officer                  | UserRole.SUB_DEPARTMENT_STAFF | 3        | 7        | Store Officer                           
senior_payment_and_disbursement_accountant | UserRole.SUB_DEPARTMENT_STAFF | 3        | 7        | Senior Payment & Disbursement Accountant
office_assistance              | UserRole.SUB_DEPARTMENT_STAFF | 3        | 12       | Office Assistance                       
ems_division_manager           | UserRole.DIVISION_MANAGER | 1        | None     | EMS Division Manager                    
medcom_division_manager        | UserRole.DIVISION_MANAGER | 2        | None     | MEDCOM Division Manager                 
support_division_manager       | UserRole.DIVISION_MANAGER | 3        | None     | Support Division Manager                
comprehensive_ambulance_services_head | UserRole.DEPARTMENT_HEAD | 1        | 1        | Comprehensive Ambulance Services Head   
vocational_training_head       | UserRole.DEPARTMENT_HEAD | 1        | 3        | Vocational Training Head                
medical_equipment_production_department_head | UserRole.DEPARTMENT_HEAD | 2        | 4        | Medical Equipment Production Department Head
finance_department_head        | UserRole.DEPARTMENT_HEAD | 3        | 7        | Finance Department Head                 
human_resources_(hr)_department_head | UserRole.DEPARTMENT_HEAD | 3        | 12       | Human Resources (HR) Department Head    
cpd_and_short_term_training_head | UserRole.DEPARTMENT_HEAD | 1        | 13       | CPD & Short-Term Training Head          
pharmaceutical_imports_department_head | UserRole.DEPARTMENT_HEAD | 2        | 14       | Pharmaceutical Imports Department Head  
marketing_and_sales_department_head | UserRole.DEPARTMENT_HEAD | 2        | 15       | Marketing and Sales Department Head     
